,Unnamed: 0,Title,Year,Score,WatchedTotal,NrOfEpisodes,Subs,Oppa,Noona,Total
75,75,The Greatest Love,2011,7.0,100.0,16.0,0.0,0,0,0
76,76,The Guardians,2017,10.0,100.0,32.0,7.45,2,1,3730
77,77,The Heirs,2013,7.5,100.0,20.0,69.25,39,9,89366
78,78,The Innocent Man,2012,6.0,100.0,20.0,18.35,37,31,17906
79,79,The K2,2016,10.0,100.0,16.0,92.75,0,75,81059
80,80,The Legend of the Blue Sea,2016,8.5,100.0,20.0,95.7894736842105,15,21,105831
81,81,The Man in the Mask,2015,8.0,100.0,16.0,0.8125,0,0,783
82,82,The Master’s Sun,2013,10.0,100.0,17.0,99.11764705882355,12,34,110896
83,83,The Producers,2015,9.0,100.0,12.0,100.0,66,65,127380
84,84,The Secret Life of My Secretary,2019,7.0,100.0,32.0,0.0,5,4,14598
85,85,The Sound of Your Heart,2016,10.0,100.0,20.0,0.0,0,0,0
86,86,Touch Your Heart,2019,6.0,100.0,16.0,100.0,132,60,132049
87,87,Tunnel,2017,9.5,100.0,16.0,29.875,8,0,25830
88,88,Uncontrollably Fond,2016,4.5,100.0,20.0,0.0,0,0,0
89,89,Voice,2017,5.0,100.0,16.0,4.625,0,0,5117
90,90,W,2016,10.0,100.0,16.0,97.5,15,148,82440
91,91,What’s Wrong With Secretary Kim,2018,10.0,100.0,16.0,99.4375,124,0,109318
92,92,While You Were Sleeping,2017,10.0,100.0,32.0,100.0,15,17,106245
93,93,My Love From the Stars,2013,8.0,100.0,21.0,99.2857,0,0,0
94,94,You’re All Surrounded,2014,4.0,100.0,20.0,0.95,0,0,913
95,95,7 First Kisses,2016,0.0,50.0,8.0,0.0,0,0,0
96,96,Advertising Genius Lee Tae Baek,2013,6.0,62.5,16.0,0.0,0,0,0
97,97,Blade Man,2014,0.0,38.888888888888886,18.0,0.0,0,0,0
98,98,Flower Boy Ramen Shop,2011,0.0,12.5,16.0,28.0,14,30,15000
99,99,Glamorous Temptation,2015,1.0,60.0,50.0,2.45,1,0,3223
100,100,Goong S,2007,3.0,15.0,20.0,2.85,0,0,2221
101,101,Love Rain,2012,0.0,30.0,20.0,13.05,1,0,12561
102,102,Lucky Romance,2016,0.0,25.0,16.0,21.1875,0,8,21309
103,103,Padam Padam,2011,0.0,80.0,20.0,97.75,37,106,97256
104,104,The Sound of Your Heart: Reboot,2018,6.5,60.0,10.0,0.0,0,0,0
